from_loc,to_loc,amount,country,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_ipums,predict_ipums_country,predict_civ,predict_kenya,predict_sen
23,21,68,SLE,358521.7854,-11.3449001,9.45222,550436.786,-12.1657,9.31141,0.832790449,319.9655339,158.6966632,2501.426228,92856.42223,4960.057154
23,22,46,SLE,358521.7854,-11.3449001,9.45222,362084.2954,-12.8070002,9.18221,1.486822821,115.9858781,35.1627366,745.3498835,17021.30043,1457.088508
23,24,36,SLE,358521.7854,-11.3449001,9.45222,612546.8019,-12.7334995,8.7240896,1.567922885,197.2376127,156.3123423,1037.358088,28969.54632,1692.279193
23,25,37,SLE,358521.7854,-11.3449001,9.45222,472176.2751,-11.8753004,8.6617603,0.951919648,237.7883784,95.14592588,1809.702289,58590.54816,3641.918239
23,31,77,SLE,358521.7854,-11.3449001,9.45222,641236.4017,-11.7143002,7.95329,1.54377705,210.5664064,179.8383145,1100.917407,31619.46102,1776.986269
23,32,3,SLE,358521.7854,-11.3449001,9.45222,191754.4736,-12.2756004,7.5009198,2.161891653,40.21480766,4.625676561,256.2339893,3646.913398,557.5395364
23,33,24,SLE,358521.7854,-11.3449001,9.45222,352832.0699,-12.4265003,8.05931,1.763535444,95.8165598,29.89777228,563.1752462,11629.99611,1062.85626
23,34,3,SLE,358521.7854,-11.3449001,9.45222,316360.3377,-11.5670996,7.29498,2.168653277,69.75570274,19.62141652,377.355303,6668.657677,699.5256005
23,41,76,SLE,358521.7854,-11.3449001,9.45222,540326.047,-13.0862999,8.3221998,2.075913995,131.4485234,94.22129683,613.216255,13998.96432,969.3284939
23,42,392,SLE,358521.7854,-11.3449001,9.45222,775375.9439,-13.2444,8.4532099,2.146187562,189.8808188,263.0007535,773.3114233,20304.42923,1080.390796
24,11,23,SLE,612546.8019,-12.7334995,8.7240896,472521.038,-10.6969995,8.0851002,2.134394458,202.4864288,154.2736393,840.11357,21559.31103,1113.512981
24,12,168,SLE,612546.8019,-12.7334995,8.7240896,690510.5587,-11.2013998,7.9244599,1.728217911,376.5647519,514.3526283,1559.322804,52720.55311,1932.743681
24,13,194,SLE,612546.8019,-12.7334995,8.7240896,538271.4597,-10.9485998,8.6857595,1.785311215,277.1877252,246.3168135,1221.162251,36417.77402,1625.034836
24,21,225,SLE,612546.8019,-12.7334995,8.7240896,550436.786,-12.1657,9.31141,0.816909741,597.8435492,392.1321862,4088.911446,185397.6773,6592.706487
24,22,339,SLE,612546.8019,-12.7334995,8.7240896,362084.2954,-12.8070002,9.18221,0.463979152,644.4276464,156.2027085,6974.171607,354287.8547,14839.82907
24,23,21,SLE,612546.8019,-12.7334995,8.7240896,358521.7854,-11.3449001,9.45222,1.567922885,200.0951835,81.36634458,1082.791458,28955.3667,1695.089779
24,25,182,SLE,612546.8019,-12.7334995,8.7240896,472176.2751,-11.8753004,8.6617603,0.86045955,480.2436967,245.1547301,3350.568335,138292.189,5598.092734
